Study,Year,Title,Host Organism,Host Classification,Host Habitat,Parasite Organism,Parasite Class,Macro v micro,TheoryEmpiricism,ObservationExperiment,Title Word,DOI,Disease scale
Stutz et al,2014,Contrasting Patterns of Phenotype-Dependent Parasitism within and among Populations of Threespine Stickleback,Stickleback,Vertebrate,Aquatic,Helminths,helminths,Macroparasite,Empirical,Observation,Parasit*,10.1086/676005,"within host, between hosts"
Martinez-Padilla et al,2012,Parasitized Mates Increase Infection Risk for Partners,Red grouse,Vertebrate,Terrestrial,Nematode,invertebrate,Macroparasite,Empirical,Experiment,Parasit*,10.1086/665664,"within host, between hosts"
Lello et al,2008,"Pathogen interactions, population cycles, and phase shifts",Rabbits,Vertebrate,Terrestrial,Nematode,invertebrate,Macroparasite,T/E,Observation,Pathogen,10.1086/525257,"within host, between hosts"
Krkosek et al,2013,Allee Effect from Parasite Spill-Back,Salmon,Vertebrate,Aquatic,sea lice,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/673238,"within host, between hosts"
GRENFELL et al,1992,PARASITISM AND THE DYNAMICS OF UNGULATE GRAZING SYSTEMS,ungulates,Vertebrate,Terrestrial,Macroparasites,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/285366,"within host, between hosts"
Holding et al,2018,Multiscale Immune Selection and the Transmission-Diversity Feedback in Antigenically Diverse Pathogen Systems,Humans,Vertebrate,Terrestrial,Plasmodium falciparum,apicomplexan,Microparasite,Theory,NA,Pathogen,10.1086/699535,"within host, between hosts"
Koelle and Pascual,2004,Disentangling extrinsic from intrinsic factors in disease dynamics: A nonlinear time series approach with an application to cholera,Homo sapiens,Vertebrate,Terrestrial,Vibrio cholerae,bacteria,Microparasite,Theory,NA,Disease,10.1086/420798,"within host, between hosts"
Tanner et al,2019,The Critical Role of Infectious Disease in Compensatory Population Growth in Response to Culling,Sus scrofa,Vertebrate,Terrestrial,Sus scrofa tuberculosis,bacteria,Microparasite,Theory,NA,Disease,10.1086/703437,"within host, between hosts"
Cobey et al,2013,Pathogen Diversity and Hidden Regimes of Apparent Competition,Humans,Vertebrate,Terrestrial,H. influenzae,bacteria,Microparasite,Theory,NA,Pathogen,10.1086/668598,"within host, between hosts"
Harding et al,2005,Acquired immunity and stochasticity in epidemic intervals impede the evolution of host disease resistance,Phoca vitulina,Vertebrate,Semiaquatic,phocine distemper virus,virus,Microparasite,Theory,NA,Disease,10.1086/497580,"within host, between hosts"
Lively et al,1999,"Migration, virulence, and the geographic mosaic of adaptation by parasites",Snail,Invertebrate,Aquatic,Trematode,invertebrate,Macroparasite,T/E,Observation & Experiment,Parasit*,10.1086/303210,"within host, between hosts, among patches"
Hoffmeister et al,2005,Linking spatial processes to life-history evolution of insect parasitoids,Insects,Invertebrate,Terrestrial,Hymenoptera,invertebrate,Macroparasite,Theory,NA,Parasit*,10.1086/432563,"within host, between hosts, among patches"
Ellers et al,2000,Egg load evolution in parasitoids,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/316990,"within host, between hosts, among patches"
Gandon et al,2009,"Interactions between Genetic Drift, Gene Flow, and Selection Mosaics Drive Parasite Local Adaptation",NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/593706,"within host, between hosts, among patches"
Nuismer et al,2017,Rethinking Conventional Wisdom: Are Locally Adapted Parasites Ahead in the Coevolutionary Race?,NA,General,NA,NA,general,general,Theory,NA,Parasit*,10.1086/693455,"within host, between hosts, among patches"
Burdon et al,1999,Spatial and temporal patterns in coevolving plant and pathogen associations,Four herbaceous perennials,Plant,Terrestrial,Fungi,fungi,Microparasite,Review,NA,Pathogen,10.1086/303209,"within host, between hosts, among patches"
Thompson et al,2013,Linking Plant Disease Risk and Precipitation Drivers: A Dynamical Systems Framework,Multiple Crop Species,Plant,Terrestrial,Phytophthora/Botryosphaeria doithidea,fungi,Microparasite,Theory,NA,Disease,10.1086/668572,"within host, between hosts, among patches"
Osnas et al,2015,Evolution of Pathogen Virulence across Space during an Epidemic,House finch,Vertebrate,Terrestrial,Mycoplasma gallisepticum,bacteria,Microparasite,T/E,Observation,Pathogen,10.1086/679734,"within host, between hosts, among patches"
Jaenike et al,2002,Ecology and evolution of host-parasite associations: Mycophagous Drosophila and their parasitic nematodes,Drosophila,Invertebrate,Terrestrial,Nematode,invertebrate,Macroparasite,Empirical,Observation & Experiment,Parasit*,10.1086/342137,"within host, between hosts, macro"
Fernandez-Marin et al,2013,Dynamic Disease Management in Trachymyrmex Fungus-Growing Ants (Attini: Formicidae),Trachymyrmex sp.,Invertebrate,Terrestrial,Escovopsis,fungi,Microparasite,Empirical,Experiment,Disease,10.1086/669664,"within host, macro"
